FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
0.523,0.913,0.2,25,42,0.458,0.655,0.324,26,42
0.505,0.773,0.355,30,32,0.53,0.788,0.476,22,48
0.541,0.783,0.556,34,43,0.483,1,0.355,26,35
0.49,0.778,0.319,33,45,0.468,0.894,0.372,26,50
0.557,0.857,0.514,34,57,0.378,0.556,0.265,17,40
0.424,0.75,0.35,24,42,0.605,0.846,0.576,33,41
0.408,0.733,0.298,27,50,0.526,0.733,0.538,26,40
0.373,0.75,0.265,21,32,0.451,0.737,0.25,23,60
0.556,0.778,0.353,37,42,0.526,0.778,0.435,28,31
0.589,0.739,0.514,41,48,0.451,0.743,0.2,23,29
0.4,0.741,0.323,19,41,0.407,0.788,0.25,23,51
0.488,0.8,0.488,29,48,0.442,0.625,0.25,24,42
0.389,0.913,0.208,27,43,0.495,0.87,0.297,29,51
0.507,0.765,0.321,21,37,0.466,0.8,0.41,27,42
0.467,0.952,0.375,30,45,0.488,0.792,0.296,19,31
0.458,0.957,0.241,20,41,0.531,0.792,0.345,24,41
0.556,0.786,0.423,20,33,0.477,0.895,0.235,17,43
0.537,0.8,0.542,25,31,0.605,1,0.475,34,38
0.532,0.774,0.444,25,51,0.373,0.75,0.219,20,29
0.398,0.727,0.289,20,44,0.5,0.867,0.316,27,46
0.5,0.744,0.29,23,45,0.455,0.789,0.207,21,44
0.522,0.741,0.353,29,56,0.4,0.769,0.313,27,43
0.495,0.778,0.455,22,41,0.493,0.84,0.528,26,37
0.505,0.714,0.368,27,48,0.494,0.737,0.42,30,44
0.427,0.806,0.377,25,47,0.483,0.735,0.357,31,45
0.473,0.839,0.351,31,49,0.522,0.846,0.355,28,27
0.55,0.88,0.4,27,43,0.472,0.737,0.393,30,34
0.526,1,0.5,39,45,0.446,0.763,0.281,14,42
0.427,0.914,0.367,26,42,0.563,0.765,0.455,28,41
0.386,0.583,0.342,22,42,0.441,0.778,0.341,28,49
0.467,0.842,0.41,26,39,0.488,0.818,0.286,26,44
0.438,0.739,0.304,19,40,0.489,0.636,0.459,29,42
0.583,0.75,0.417,29,55,0.411,0.647,0.432,27,32
0.44,0.795,0.353,20,55,0.389,0.667,0.354,29,54
0.474,0.952,0.3,29,48,0.54,0.778,0.575,34,36
0.505,0.667,0.457,31,43,0.488,0.682,0.444,25,47
0.453,0.926,0.405,22,52,0.404,0.56,0.256,18,48
0.571,0.862,0.548,29,41,0.529,0.722,0.316,34,31
0.436,0.677,0.257,20,60,0.457,0.667,0.378,31,43
0.429,1,0.273,22,42,0.529,0.92,0.343,32,47
0.451,0.72,0.341,27,38,0.554,0.5,0.433,38,52
0.481,0.5,0.31,15,47,0.422,0.813,0.344,24,40
0.418,0.667,0.212,22,51,0.494,0.667,0.462,31,48
0.417,0.674,0.316,23,61,0.386,0.828,0.419,26,51
0.513,0.909,0.367,28,34,0.511,0.808,0.48,26,44
0.49,0.778,0.359,38,53,0.453,0.767,0.31,22,46
0.615,0.692,0.523,39,39,0.463,0.9,0.381,21,32
0.442,0.722,0.375,25,36,0.513,0.889,0.421,28,38
0.533,0.667,0.3,31,40,0.573,0.793,0.387,33,38
0.479,0.789,0.316,33,58,0.434,0.778,0.512,31,38
0.449,0.742,0.455,24,41,0.413,0.833,0.355,23,50
0.353,0.593,0.273,18,40,0.484,0.813,0.341,29,56
0.422,0.794,0.308,19,38,0.519,0.636,0.474,30,38
0.565,0.69,0.4,28,36,0.593,0.8,0.415,32,32
0.494,0.778,0.415,33,54,0.416,0.882,0.184,22,33
0.452,0.767,0.333,25,51,0.393,0.667,0.356,22,39
0.383,0.875,0.212,19,35,0.519,0.733,0.471,29,47
0.474,0.8,0.477,33,41,0.402,0.778,0.375,22,54
0.609,0.81,0.488,38,47,0.483,0.792,0.367,34,32
0.403,0.765,0.433,19,35,0.543,0.762,0.441,26,43
0.419,0.755,0.317,18,54,0.424,0.737,0.459,17,52
0.43,0.897,0.265,21,39,0.537,0.815,0.5,28,41
0.476,0.917,0.417,30,41,0.427,0.727,0.326,19,47
0.43,0.909,0.314,24,45,0.419,0.85,0.31,21,41
0.544,0.909,0.515,33,45,0.436,0.923,0.289,14,36
0.542,0.929,0.364,29,40,0.519,0.957,0.472,25,30
0.423,0.692,0.378,26,45,0.519,0.765,0.429,29,47
0.451,0.821,0.292,30,48,0.547,0.588,0.37,27,39
0.532,0.611,0.32,30,38,0.609,0.75,0.535,34,36
0.429,0.621,0.324,24,54,0.426,0.833,0.313,29,44
0.568,0.786,0.432,34,44,0.446,0.7,0.429,27,42
0.535,0.897,0.343,36,44,0.5,0.861,0.475,26,38
0.476,0.71,0.407,24,40,0.519,0.862,0.269,23,37
0.5,0.667,0.286,26,38,0.449,0.893,0.269,22,39
0.495,0.857,0.436,27,48,0.433,0.786,0.233,19,47
0.464,0.688,0.486,31,41,0.449,0.824,0.293,17,57
0.49,0.781,0.345,24,50,0.5,0.923,0.444,26,40
0.511,0.625,0.341,25,41,0.494,0.714,0.28,18,40
0.506,0.773,0.44,24,39,0.523,0.8,0.381,28,38
0.454,0.783,0.3,29,37,0.625,0.929,0.429,33,43
0.511,0.769,0.361,35,51,0.417,0.864,0.324,21,42
0.412,0.739,0.297,27,44,0.481,0.68,0.382,27,42
0.471,0.692,0.364,23,43,0.544,0.882,0.343,39,40
0.5,0.733,0.5,32,47,0.402,0.739,0.297,26,48
